Plural,Singular,Plural
Academies / Institutions (Grant in Aid),Academy / Institution (Grant in Aid),Academies / Institutions (Grant in Aid)
Affiliated Organizations,Affiliated Organization,Affiliated Organizations
Apex / Autonomous Bodies / Organisations,Apex / Autonomous Body / Organisation,Apex / Autonomous Bodies / Organisations
Apex Bodies,Apex Body,Apex Bodies
Attached & Subordinate Offices,Attached & Subordinate Office,Attached & Subordinate Offices
Attached Offices,Attached Office,Attached Offices
Attached Offices ,Attached Office,Attached Offices 
Autonomous / Apex Institutes,Autonomous / Apex Institute,Autonomous / Apex Institutes
Autonomous / Apex Institutions,Autonomous / Apex Institution,Autonomous / Apex Institutions
Autonomous Organisations / Institutions,Autonomous Organisation / Institution,Autonomous Organisations / Institutions
Commissions/Committees/Missions,Commission/Committee/Mission,Commissions/Committees/Missions
Companies,Company,Companies
Directorates / Commissionerates,Directorate / Commissionerate,Directorates / Commissionerates
Divisions / Units / Wings,Division / Unit / Wing,Divisions / Units / Wings
Divisions / Units / Wings ,Division / Unit / Wing,Divisions / Units / Wings 
Independent Departments,Independent Department,Independent Departments
Local Bodies,Local Body,Local Bodies
Municipal Corporations,Municipal Corporation,Municipal Corporations
Municipalities / Councils / Boards,Municipality / Council / Board,Municipalities / Councils / Boards
PSUs / Joint Ventures,PSU / Joint Venture,PSUs / Joint Ventures
Regional/Field Offices,Regional/Field Office,Regional/Field Offices
Schemes / Programmes and Missions,Scheme / Programme and Mission,Schemes / Programmes and Missions
Societies,Society,Societies
State Legislative Assemblies,State Legislative Assembly,State Legislative Assemblies
State Legislative Councils,State Legislative Council,State Legislative Councils
Statutory Bodies,Statutory Body,Statutory Bodies
Subordinate Offices,Subordinate Office,Subordinate Offices
Town Panchayats,Town Panchayat,Town Panchayats
Union,Union Government,Union
Zilla/Taluk/ Village Panchayats,Zilla/Taluk/ Village Panchayat,Zilla/Taluk/ Village Panchayats
State & UTs,State & Union Territory,
