Names of selected cities,Name of State/UT
Port Blair,Andaman and Nicobar Island
Vishakhapatnam,Andhra Pradesh
Tirupati,Andhra Pradesh
Kakinada,Andhra Pradesh
Pasighat,Arunachal Pradesh
Guwahati,Assam
Muzaffarpur,Bihar
Bhagalpur,Bihar
Biharsharif,Bihar
Chandigarh,Chandigarh
Raipur,Chhattisgarh
Bilaspur,Chhattisgarh
Diu,Daman and Diu
Silvassa,Dadra and Nagar Haveli
New Delhi Municipal Council,Delhi
Panaji,Goa
Gandhinagar,Gujarat
Ahmedabad,Gujarat
Surat,Gujarat
Vadodara,Gujarat
Rajkot,Gujarat
Dahod,Gujarat
Karnal,Haryana
Faridabad,Haryana
Dharamshala,Himachal Pradesh
Ranchi,Jharkhand
Mangaluru,Karnataka
Belagavi,Karnataka
Shivamogga,Karnataka
Hubbali - Dharwad,Karnataka
Tumakuru,Karnataka
Davanagere,Karnataka
Kochi,Kerala
Kavaratti,Lakshadweep
Bhopal,Madhya Pradesh
Indore,Madhya Pradesh
Jabalpul,Madhya Pradesh
Gwalior,Madhya Pradesh
Sagar,Madhya Pradesh
Satna,Madhya Pradesh
Ujjain,Madhya Pradesh
Navi Mumbai,Maharashtra
Nashik,Maharashtra
Thane,Maharashtra
Greater Mumbai,Maharashtra
Amravati,Maharashtra
Solapur,Maharashtra
Nagpur,Maharashtra
Kalyan-Dombivilli,Maharashtra
Aurangabad,Maharashtra
Pune,Maharashtra
Imphal,Manipur
Shillong,Meghalaya
Aizwal,Mizoram
Kohima,Nagaland
Bhubaneshwar,Odisha
Raurkela,Odisha
Oulgaret,Puducherry
Ludhiana,Punjab
Jalandhar,Punjab
Amritsar,Punjab
Jaipur,Rajasthan
Udaipur,Rajasthan
Kota,Rajasthan
Ajmer,Rajasthan
Namchi,Sikkim
Tiruchurapalli,Tamil Nadu
Tirunelveli,Tamil Nadu
Dindigul,Tamil Nadu
Thanjavur,Tamil Nadu
Tiruppur,Tamil Nadu
Salem,Tamil Nadu
Vellore,Tamil Nadu
Coimbatore,Tamil Nadu
Madurai,Tamil Nadu
Erode,Tamil Nadu
Thoothukudi,Tamil Nadu
Chennai,Tamil Nadu
Greater Hyderabad,Telangana
Greater Warangal,Telangana
Agartala,Tripura
Moradabad,Uttar Pradesh
Aligarh,Uttar Pradesh
Shaharanpur,Uttar Pradesh
Bareilly,Uttar Pradesh
Jhansi,Uttar Pradesh
Kanpur,Uttar Pradesh
Allahabad,Uttar Pradesh
Lucknow,Uttar Pradesh
Varanasi,Uttar Pradesh
Ghaziabad,Uttar Pradesh
Agra,Uttar Pradesh
Rampur,Uttar Pradesh
Dehra dun,Uttarakhand
New Town Kolkata,West Bengal
Bidhannagar,West Bengal
Duragapur,West Bengal
Haldia,West Bengal
