Cat1,Cat2,Org1,Org2
Legislature,Parliament of India,"['Rajya Sabha', 'https://rajyasabha.gov.in', '']","['Rajyasabha (Hindi)', 'https://rajyasabhahindi.nic.in', 'Hindi ']"
Legislature,Parliament of India,"['Rajya Sabha', 'https://rajyasabha.gov.in', '']","['Rajya Sabha Television (RSTV)', 'http://rstv.nic.in', 'RSTV ']"
Legislature,Parliament of India,"['Lok Sabha', 'https://loksabha.nic.in', '']","['Loksabha (Hindi)', 'http://loksabhahindi.nic.in', 'Hindi ']"
Legislature,Parliament of India,"['Lok Sabha', 'https://loksabha.nic.in', '']","['Lok Sabha Television (LSTV)', 'http://loksabhatv.nic.in', 'LSTV ']"
Legislature,State Legislative Assemblies,"['Legislative Assembly, Andhra Pradesh  ', 'http://www.aplegislature.org', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Arunachal Pradesh', 'http://arunachalassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Assam', 'http://assamassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Bihar', 'http://vidhansabha.bih.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Chhattisgarh', 'http://cgvidhansabha.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Delhi', 'http://delhiassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Goa', 'http://goaassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Gujarat', 'http://gujaratassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Haryana', 'http://haryanaassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Himachal Pradesh', 'http://hpvidhansabha.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Jammu and Kashmir', 'http://jklegislativeassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Karnataka', 'http://kla.kar.nic.in/assembly/assembly.htm', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Kerala', 'http://www.niyamasabha.org', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Madhya Pradesh', 'http://mpvidhansabha.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Maharashtra', 'http://mls.org.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Manipur', 'http://www.manipurassembly.net', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Meghalaya', 'http://megassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Mizoram', 'http://www.mizoramassembly.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Odisha', 'http://odishaassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Punjab', 'http://punjabassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Rajasthan', 'http://rajassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Sikkim', 'http://www.sikkimassembly.org', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Tamil Nadu', 'http://www.assembly.tn.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Telangana', 'http://www.telanganalegislature.org.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Tripura', 'http://tripuraassembly.nic.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, Uttar Pradesh', 'http://uplegisassembly.gov.in', '']",
Legislature,State Legislative Assemblies,"['Legislative Assembly (Vidhan Sabha), Jharkhand', 'http://jharkhandvidhansabha.nic.in', 'Vidhan Sabha ']",
Legislature,State Legislative Assemblies,"['Legislative Assembly (Vidhan Sabha), Uttarakhand', 'http://ukvidhansabha.uk.gov.in', 'Vidhan Sabha ']",
Legislature,State Legislative Assemblies,"['Legislative Assembly, West Bengal', 'http://wbassembly.gov.in', '']",
Legislature,State Legislative Councils,"['Andhra Pradesh Legislative Council', 'http://www.aplegislature.org/web/legislative-council', '']",
Legislature,State Legislative Councils,"['Karnataka Legislative Council  ', 'http://kla.kar.nic.in/council/council.htm', '']",
Legislature,State Legislative Councils,"['Legislative Council, Bihar', 'http://biharvidhanparishad.gov.in', '']",
Legislature,State Legislative Councils,"['Legislative Council, Jammu and Kashmir', 'http://jklegislativecouncil.nic.in', '']",
Legislature,State Legislative Councils,"['Legislative Council, Uttar Pradesh', 'http://upvidhanparishad.nic.in', '']",
Legislature,State Legislative Councils,"['Telangana Legislative Council', 'http://www.telanganalegislature.org.in/web/legislative-council/home', '']",
Legislature,Others(Legislative),"['Legislative Bodies in India', 'http://legislativebodiesinindia.gov.in', '']",
Legislature,Others(Legislative),"['Proceedings of Uttar Pradesh Legislative Assembly (UPLA)', 'http://upvidhansabhaproceedings.gov.in', 'UPLA ']",
